iter	RMSE
0	0.9219645634
1	0.9192346259
2	0.916494372
3	0.9137444132
4	0.9111821774
5	0.9086720053
6	0.9057294426
7	0.9032069165
8	0.9009290729
9	0.8983465554
10	0.8959191199
11	0.8933126157
12	0.8907984866
13	0.8885797398
14	0.8863812027
15	0.8842613075
16	0.8817996955
17	0.8792043759
18	0.8768366474
19	0.8750178247
20	0.8730595348
21	0.871299633
22	0.8689596225
23	0.8672188875
24	0.8650933279
25	0.8632503498
26	0.8612605447
27	0.8594194761
28	0.8575637959
29	0.8559692508
30	0.854436288
31	0.8526924879
32	0.8510683762
33	0.8493860607
34	0.8472400387
35	0.8456483106
36	0.8440721521
37	0.842610752
38	0.8414122829
39	0.8397786033
40	0.8385663724
41	0.8371081837
42	0.8355383334
43	0.8338464926
44	0.8327426447
45	0.831396872
46	0.8301877499
47	0.829259784
48	0.8281166998
49	0.8269366544
50	0.8256685025
51	0.8241518695
52	0.8229935534
53	0.8218564947
54	0.8208157542
55	0.8195782806
56	0.8182502357
57	0.8171342244
58	0.8160631578
59	0.8148979888
60	0.8138399768
61	0.8127143722
62	0.8116623175
63	0.810706191
64	0.8094409012
65	0.8083474923
66	0.8072011095
67	0.8057559348
68	0.8045041682
69	0.803477545
70	0.8024039741
71	0.8013199554
72	0.8004783584
73	0.7994324946
74	0.7985604153
75	0.7975766537
76	0.7964970487
77	0.7954450743
78	0.7946476159
79	0.7938100484
80	0.7927069418
81	0.7918152009
82	0.7908346878
83	0.7898040631
84	0.7888919159
85	0.7880260235
86	0.7870548321
87	0.7861898079
88	0.7853152078
89	0.7842854802
90	0.78335119
91	0.7827733035
92	0.7819285483
93	0.7811494379
94	0.7805449497
95	0.7794742475
96	0.7786330106
97	0.7778250786
98	0.7769692064
99	0.7762120586
100	0.7754696702
101	0.7746697598
102	0.773753207
103	0.7729387292
104	0.7721334601
105	0.7714058042
106	0.7707653325
107	0.7700364106
108	0.7692397625
109	0.7685419956
110	0.767941886
111	0.7673980566
112	0.7665539588
113	0.7658935048
114	0.7651376753
115	0.7644159853
116	0.7636574166
117	0.7629218651
118	0.7621780439
119	0.7615614849
120	0.7608724691
121	0.7601629355
122	0.7594448615
123	0.7589891143
124	0.7584515248
125	0.7577047494
126	0.7570695987
127	0.7564948769
128	0.755825459
129	0.7552375454
130	0.754730865
131	0.7540315627
132	0.7534740866
133	0.7529243365
134	0.7522503751
135	0.7516222689
136	0.7510174258
137	0.7505342051
138	0.74999714
139	0.7492777708
140	0.7488016739
141	0.7481795557
142	0.7475317631
143	0.7470984573
144	0.7465385314
145	0.7459626303
146	0.7452843774
147	0.744628901
148	0.7440423882
149	0.7435232744
150	0.7431058161
151	0.7426856899
152	0.7421353165
153	0.7415325251
154	0.7411399614
155	0.7406100553
156	0.7401765896
157	0.7396862793
158	0.7392469142
159	0.7387690662
160	0.738239253
161	0.7377451588
162	0.7372399609
163	0.7367278582
164	0.7362950233
165	0.7357513925
166	0.7352618293
167	0.734857984
168	0.7344108307
169	0.733925938
170	0.733369611
171	0.7329176518
172	0.7325236614
173	0.7320228242
174	0.7315962021
175	0.7312106756
176	0.7306391828
177	0.73021185
178	0.7298491645
179	0.7294391748
180	0.728865758
181	0.7284330109
182	0.7279383542
183	0.7275312877
184	0.7271063854
185	0.726663804
186	0.7262989688
187	0.7259178478
188	0.7255479981
189	0.725151957
190	0.7246839322
191	0.7243111622
192	0.7239035937
193	0.7235171907
194	0.7231805512
195	0.722777398
196	0.7223533202
197	0.7220129431
198	0.7216557668
199	0.7212032408
200	0.7209083311
201	0.7205077985
202	0.720238607
203	0.7197816916
204	0.7193823582
205	0.7190663454
206	0.7187249166
207	0.7184196024
208	0.7180975633
209	0.7176984548
210	0.7173012031
211	0.7167669916
212	0.7164279274
213	0.7160114189
214	0.7157138872
215	0.7153569292
216	0.7150069813
217	0.7146575856
218	0.7143111433
219	0.7140238536
220	0.7137194456
221	0.7134510602
222	0.7130797477
223	0.7126418236
224	0.7123483779
225	0.7120523915
226	0.7117391746
227	0.7113572719
228	0.7110095902
229	0.7106597115
230	0.7102650845
231	0.7099651056
232	0.7096887125
233	0.7092290251
234	0.7089221357
235	0.7086711081
236	0.7083011116
237	0.7080322068
238	0.7077890469
239	0.7075676023
240	0.7071936907
241	0.7069230133
242	0.706560456
243	0.7062510448
244	0.7059739037
245	0.7056826408
246	0.7054276035
247	0.7051775854
248	0.7048460053
249	0.7045559797
250	0.7042942722
251	0.7040376544
252	0.7037934276
253	0.7034649207
254	0.7031926743
255	0.7028828298
256	0.7026706617
257	0.7023441717
258	0.7021460445
259	0.7018741676
260	0.7016527223
261	0.701378656
262	0.7011207136
263	0.7008019217
264	0.7004919119
265	0.7001437522
266	0.6998570629
267	0.6996374623
268	0.6994092967
269	0.699188718
270	0.6989370534
271	0.6987241868
272	0.6984743221
273	0.6981736555
274	0.6978928418
275	0.6975787742
276	0.6973214025
277	0.6971364537
278	0.6969201308
279	0.6966338763
280	0.6963231446
281	0.6959135561
282	0.6956090713
283	0.6953825787
284	0.6951273619
285	0.6949397353
286	0.694722873
287	0.6945318486
288	0.694309788
289	0.6941118473
290	0.6939235407
291	0.6936342507
292	0.6934088115
293	0.6932761736
294	0.6930253132
295	0.6927693371
296	0.6925689642
297	0.6923550129
298	0.692084143
299	0.6919172335
300	0.6917519144
301	0.6915627509
302	0.6913676791
303	0.6911954773
304	0.6910294899
305	0.6908280265
306	0.6905219694
307	0.6901894093
308	0.6900439876
309	0.6897763576
310	0.6895838131
311	0.6893012418
312	0.6891344817
313	0.6889175733
314	0.6887177265
315	0.6885733299
316	0.6884232315
317	0.6881753787
318	0.6879685795
319	0.6877494515
320	0.6875259762
321	0.6874065244
322	0.6872536111
323	0.6871297452
324	0.6868574505
325	0.6867038815
326	0.6865334047
327	0.6864129044
328	0.6861944952
329	0.6859814427
330	0.6858075402
331	0.6856866745
332	0.685521796
333	0.6853180066
334	0.6850612307
335	0.6849682625
336	0.6848304194
337	0.6846186918
338	0.6844563794
339	0.6843081043
340	0.6841552782
341	0.6840122722
342	0.6838295306
343	0.6835777193
344	0.6834463598
345	0.6832119256
346	0.6831212672
347	0.6828948917
348	0.68268509
349	0.6825524849
350	0.6824009989
351	0.6822430038
352	0.6821043936
353	0.6819112728
354	0.6818089887
355	0.68166012
356	0.6815205803
357	0.6813960102
358	0.6811784448
359	0.681073887
360	0.6809582642
361	0.6808230743
362	0.680701191
363	0.6805583947
364	0.6803487096
365	0.680286704
366	0.680167527
367	0.680002528
368	0.6798126655
369	0.679677472
370	0.6795727924
371	0.6793791186
372	0.6792024056
373	0.6790566634
374	0.6788497644
375	0.6787144544
376	0.6785140844
377	0.6784437524
378	0.6783032445
379	0.6782298668
380	0.6780958466
381	0.677963765
382	0.6778671351
383	0.6777571224
384	0.6776590631
385	0.6775576479
386	0.6774723619
387	0.6773016737
388	0.6771874651
389	0.6770488609
390	0.6769697653
391	0.6768792843
392	0.6767731921
393	0.6766877006
394	0.6765567629
395	0.6764669741
396	0.6763982412
397	0.6762818652
398	0.6761711122
399	0.676064892
400	0.6759382727
401	0.6758469895
402	0.6756817277
403	0.6755802996
404	0.6754893457
405	0.6753395946
406	0.675262363
407	0.6751507899
408	0.6749949082
409	0.6748787597
410	0.6747569049
411	0.6746488641
412	0.6745290737
413	0.6743764306
414	0.6742683885
415	0.6742145923
416	0.6741162154
417	0.6740011776
418	0.6739316563
419	0.6738238076
420	0.6736857096
421	0.6735917138
422	0.6734714715
423	0.6733365233
424	0.6732624957
425	0.6731778567
426	0.6730838672
427	0.6729902781
428	0.672875846
429	0.6727379997
430	0.6726553462
431	0.6725744666
432	0.6724465663
433	0.6723474993
434	0.6722496066
435	0.6721475494
436	0.6720762332
437	0.6719961706
438	0.6719276909
439	0.6718491831
440	0.6717271923
441	0.6715874172
442	0.6714685004
443	0.6713807065
444	0.6712570635
445	0.6710980982
446	0.6709993908
447	0.6708913681
448	0.6708304858
449	0.670758483
450	0.6706292373
451	0.6705315706
452	0.6704662438
453	0.6704099226
454	0.670344228
455	0.6702413498
456	0.6701146382
457	0.6700031056
458	0.6699003357
459	0.6698255579
460	0.6697002703
461	0.6696029761
462	0.6694234582
463	0.6693637986
464	0.6692560126
465	0.6691625963
466	0.6690917154
467	0.669050071
468	0.6689723548
469	0.6688634639
470	0.6687816259
471	0.6686499561
472	0.668546531
473	0.6684787715
474	0.6684238828
475	0.668331697
476	0.6682291487
477	0.6681568248
478	0.6680722714
479	0.667969645
480	0.6678560204
481	0.6677394264
482	0.667643396
483	0.6675674541
484	0.6674912424
485	0.6674111646
486	0.6673010022
487	0.6671892322
488	0.6671074264
489	0.6669987431
490	0.6669202817
491	0.666852641
492	0.6667729476
493	0.6667264986
494	0.6666669533
495	0.6665915639
496	0.6665407622
497	0.6664784712
498	0.6664380952
499	0.6663584714
500	0.6662803193
501	0.6662060398
502	0.6660977495
503	0.6660257318
504	0.6659652665
505	0.665872919
506	0.6658200906
507	0.6657378794
508	0.6655855757
509	0.6655199046
510	0.6654412519
511	0.6653639301
512	0.6653075924
513	0.6652540877
514	0.665192242
515	0.6650477421
516	0.6649926622
517	0.6648993667
518	0.664835855
519	0.664753204
520	0.6646760626
521	0.6646004389
522	0.6645069467
523	0.6644304156
524	0.6642886256
525	0.6642283095
526	0.6641325
527	0.6640750443
528	0.6639825475
529	0.6638871483
530	0.6637746926
531	0.6637016312
532	0.6636606447
533	0.6635905499
534	0.6635356816
535	0.6634657129
536	0.6633843936
537	0.6633071681
538	0.6632450964
539	0.6631918345
540	0.6630907889
541	0.6630220101
542	0.6629615444
543	0.6629088423
544	0.6628244269
545	0.662689382
546	0.6625384737
547	0.6624606268
548	0.6623925477
549	0.6623353496
550	0.6622900628
551	0.6622274224
552	0.6621576658
553	0.6620555339
554	0.6619899496
555	0.6619137583
556	0.6618664453
557	0.6618171824
558	0.6617801227
559	0.6617255787
560	0.6616863215
561	0.6616071725
562	0.661561501
563	0.6615179358
564	0.6614623054
565	0.661404835
566	0.6613334785
567	0.6612493202
568	0.6611390307
569	0.661061921
570	0.6610097064
571	0.6609510724
572	0.6608666678
573	0.6607818555
574	0.6607362801
575	0.6605933509
576	0.6605518077
577	0.6605011289
578	0.6604630708
579	0.6603924842
580	0.6603297641
581	0.6602826387
582	0.6602159253
583	0.660161148
584	0.6601298817
585	0.660068515
586	0.6599986066
587	0.6599134701
588	0.6598011863
589	0.6597373602
590	0.6596866131
591	0.6595828087
592	0.6595419696
593	0.6594794562
594	0.659436428
595	0.6594129182
596	0.6593534746
597	0.6592785372
598	0.6592211529
599	0.659167091
600	0.6591033594
601	0.65898323
602	0.658910087
603	0.6588591685
604	0.6588055293
605	0.6587539821
606	0.6587104884
607	0.6586667212
608	0.658593601
609	0.6585183039
610	0.6584789778
611	0.6583942072
612	0.6583626032
613	0.6582831717
614	0.6582480898
615	0.6581919722
616	0.6581329931
617	0.6580657179
618	0.6580329253
619	0.6579914059
620	0.6578676498
621	0.657822531
622	0.6577633994
623	0.6577153865
624	0.6576329006
625	0.6575885916
626	0.6575297973
627	0.6574934401
628	0.6574434841
629	0.6573872435
630	0.6573343501
631	0.6572797155
632	0.6572368419
633	0.6571893903
634	0.6571289146
635	0.6570749993
636	0.6570294103
637	0.6569609199
638	0.6568926
639	0.6568457688
640	0.6567683158
641	0.6567162114
642	0.656640439
643	0.6565921543
644	0.6564345959
645	0.6563549058
646	0.6562894702
647	0.6562390992
648	0.6561865649
649	0.6561470189
650	0.6561024235
651	0.6560457237
652	0.6560167382
653	0.6559982959
654	0.655909929
655	0.6558636602
656	0.6558010079
657	0.6556996705
658	0.6556317123
659	0.655576317
660	0.6555421198
661	0.6554943971
662	0.6554255618
663	0.6553892639
664	0.6553516039
665	0.6552908341
666	0.6552293433
667	0.655181462
668	0.6550648201
669	0.6550043063
670	0.6549252461
671	0.6548898882
672	0.6547711954
673	0.6547293072
674	0.6546310678
675	0.6545684951
676	0.6545517694
677	0.6544475444
678	0.6543864356
679	0.6543127502
680	0.6542234483
681	0.6541773144
682	0.654103502
683	0.6540709157
684	0.654025364
685	0.6539484913
686	0.6538905593
687	0.6538254192
688	0.6537036958
689	0.6535988024
690	0.6535529557
691	0.653453806
692	0.6533772584
693	0.6533216308
694	0.6532610396
695	0.6532201795
696	0.6531538928
697	0.6531048019
698	0.6530572581
699	0.6529808307
700	0.6528639721
701	0.6528072752
702	0.6527672272
703	0.6527217602
704	0.6525830239
705	0.6525164144
706	0.6524666207
707	0.65239855
708	0.6523376657
709	0.6522970585
710	0.6522586613
711	0.6522087836
712	0.6521424993
713	0.6520775424
714	0.6519939023
715	0.6519616466
716	0.6518813094
717	0.6517917667
718	0.6516825527
719	0.6516128307
720	0.6515430864
721	0.6514735193
722	0.6513891729
723	0.651322496
724	0.651259675
725	0.6511615544
726	0.6510994503
727	0.6510341872
728	0.6509738777
729	0.6508898027
730	0.6507525447
731	0.650658323
732	0.6505851781
733	0.650564631
734	0.6505165672
735	0.6504297767
736	0.650371312
737	0.6502999831
738	0.6501576808
739	0.6500981473
740	0.6500427885
741	0.6499970391
742	0.6499199593
743	0.649855773
744	0.6497634456
745	0.6497252937
746	0.649671944
747	0.6496044197
748	0.6495023882
749	0.6493960156
750	0.6492992094
751	0.6492199372
752	0.6491691074
753	0.6490776067
754	0.6490252864
755	0.6489694439
756	0.6489078531
757	0.6488734409
758	0.6487537226
759	0.6486673885
760	0.6486233586
761	0.6485605792
762	0.6484856459
763	0.6484643557
764	0.6483907096
765	0.6483268803
766	0.6482945976
767	0.648215557
768	0.6481515816
769	0.6480835162
770	0.6480172502
771	0.6479281334
772	0.6478738327
773	0.6478094072
774	0.6477657434
775	0.6477097204
776	0.6476424476
777	0.6476145967
778	0.6475433531
779	0.647503497
780	0.647435126
781	0.6473104966
782	0.6472596904
783	0.6471711307
784	0.6470639986
785	0.6469741983
786	0.6469385636
787	0.6468992503
788	0.6468541444
789	0.6467493216
790	0.6466933794
791	0.6466440821
792	0.6465744874
793	0.646516796
794	0.6464458099
795	0.6463866134
796	0.6462939271
797	0.6462779338
798	0.6462223867
799	0.6461648837
800	0.6461032009
801	0.6460477131
802	0.6459645901
803	0.6458961393
804	0.6458357095
805	0.6457780708
806	0.645704298
807	0.6456452687
808	0.6456083285
809	0.6455490688
810	0.6455172934
811	0.6454774591
812	0.6454365159
813	0.6453513665
814	0.6453397945
815	0.6452517616
816	0.6451625681
817	0.645057674
818	0.6449698902
819	0.6449198474
820	0.6448278537
821	0.6447951623
822	0.6447599406
823	0.6447211884
824	0.6446839831
825	0.6446180624
826	0.6445773154
827	0.6445534496
828	0.6445202076
829	0.6444532223
830	0.6444191729
831	0.6443726304
832	0.6442955373
833	0.6442173088
834	0.6441689574
835	0.6441183527
836	0.6440934748
837	0.6440192237
838	0.6439394892
839	0.6438711144
840	0.6438032041
841	0.6437060483
842	0.6436423321
843	0.6435671841
844	0.6435225048
845	0.6434729484
846	0.6434081094
847	0.6433133588
848	0.6432689478
849	0.6432191918
850	0.6431434649
851	0.6431241006
852	0.6430779405
853	0.6430630282
854	0.6430269051
855	0.6429767989
856	0.6429112963
857	0.6428322881
858	0.6427935135
859	0.6427270809
860	0.6426895615
861	0.642649239
862	0.6426103752
863	0.6425601276
864	0.6424830886
865	0.6424398576
866	0.6423606474
867	0.6423016488
868	0.6422636875
869	0.6422127234
870	0.6421625862
871	0.6420760686
872	0.6419747395
873	0.6418947859
874	0.6418584781
875	0.6418180693
876	0.6417475762
877	0.6417080693
878	0.6416592969
879	0.6415905456
880	0.6415401532
881	0.6414789117
882	0.6414161021
883	0.6413602628
884	0.6412728745
885	0.6412167305
886	0.6411774846
887	0.6411180433
888	0.6410505149
889	0.6410146761
890	0.6409725836
891	0.6409389242
892	0.6408791382
893	0.6407798741
894	0.6407150795
895	0.6406718404
896	0.6406230247
897	0.6405643518
898	0.6405340571
899	0.6404611461
900	0.6404052522
901	0.6403673085
902	0.6403090021
903	0.6402373563
904	0.6401918206
905	0.6401543436
906	0.6400930504
907	0.6400501941
908	0.6399866396
909	0.6399232595
910	0.6398690714
911	0.639776295
912	0.6397159384
913	0.6396563561
914	0.6396255157
915	0.6395675044
916	0.639486828
917	0.6394110235
918	0.6393282572
919	0.6392306117
920	0.6392009364
921	0.6391563487
922	0.6391253178
923	0.6390715137
924	0.6390125617
925	0.638955202
926	0.638872617
927	0.6388046433
928	0.6387588308
929	0.6386740682
930	0.638611024
931	0.6385332105
932	0.6384828257
933	0.6384504223
934	0.6384026812
935	0.6383571223
936	0.638318157
937	0.6382642102
938	0.6382003203
939	0.6381462538
940	0.6380787788
941	0.6380396561
942	0.637986823
943	0.6379473875
944	0.6378871492
945	0.6378528493
946	0.6377962361
947	0.637731529
948	0.6376859443
949	0.637572765
950	0.6374911653
951	0.6374528652
952	0.6373886077
953	0.6373508304
954	0.6372610865
955	0.6372217621
956	0.6371742983
957	0.6371006853
958	0.6370113881
959	0.6369533755
960	0.6369011172
961	0.636844537
962	0.636794713
963	0.6367212811
964	0.6366867731
965	0.636647158
966	0.6365486883
967	0.6364992774
968	0.6364369517
969	0.6363666877
970	0.6363231569
971	0.6362597827
972	0.6362399861
973	0.6362004186
974	0.6361654498
975	0.636097247
976	0.6360622745
977	0.6360133441
978	0.6359799465
979	0.6359082389
980	0.6358320795
981	0.6357600432
982	0.6357136831
983	0.6356614302
984	0.6355428945
985	0.6354691465
986	0.6354236434
987	0.6353577193
988	0.6352985433
989	0.6352640726
990	0.635222125
991	0.6351498462
992	0.6350742277
993	0.6350197756
994	0.634968277
995	0.634915349
996	0.6348836039
997	0.634847922
998	0.6347999572
999	0.6347290843
1000	0.6346718417
1001	0.6345931681
1002	0.6345300853
1003	0.6345130708
1004	0.6344535128
1005	0.6343679933
1006	0.6343084398
1007	0.6342847094
1008	0.634255957
1009	0.6342232656
1010	0.6341847378
1011	0.6341464166
1012	0.6340808911
1013	0.6340354699
1014	0.6340016049
1015	0.6339585144
1016	0.6338843432
1017	0.6338166015
1018	0.633762508
1019	0.6337380796
1020	0.6336785682
1021	0.6336327121
1022	0.6335922595
1023	0.6335292988
1024	0.6334543353
1025	0.6333783864
1026	0.6333502367
1027	0.6333124634
1028	0.6332450459
1029	0.6332010558
1030	0.6331745178
1031	0.6331264361
1032	0.6330996735
1033	0.633042588
1034	0.632996334
1035	0.6329591706
1036	0.6329199859
1037	0.6328737068
1038	0.6327880539
1039	0.6327607805
1040	0.6327405957
1041	0.6326543898
1042	0.6326021847
1043	0.6325495264
1044	0.6325307191
1045	0.6324913511
1046	0.6324418642
1047	0.6323729657
1048	0.6323038986
1049	0.6322359022
1050	0.632204741
1051	0.6321621307
1052	0.6320911546
1053	0.6320333378
1054	0.6319935419
