iter	Passed	Remaining
0	541	541508382
1	1221	610769477
2	1871	623897706
3	2529	632260455
4	3202	640443570
5	3862	643685109
6	4502	643235074
7	5157	644678439
8	5803	644800832
9	6450	645025794
10	7101	645555997
11	7747	645651269
12	8401	646257804
13	9056	646891650
14	9707	647186332
15	10361	647603409
16	11011	647703200
17	11663	647955938
18	12308	647793624
19	12954	647696637
20	13616	648397865
21	14264	648390908
22	14899	647776075
23	15564	648500486
24	16211	648436493
25	16862	648536677
26	17513	648642053
27	18163	648692204
28	18805	648438572
29	19445	648161605
30	20093	648146187
31	20732	647856150
32	21381	647889158
33	22033	648032042
34	22685	648132130
35	23327	647967688
36	23980	648106530
37	24622	647928047
38	25273	648024958
39	25922	648025349
40	26577	648203231
41	27232	648371902
42	27885	648472722
43	28535	648503142
44	29193	648703529
45	29834	648543183
46	30480	648493665
47	31129	648494246
48	31772	648387039
49	32412	648226568
50	33062	648252072
51	33709	648225301
52	34371	648482890
53	35022	648528196
54	35664	648416748
55	36312	648405381
56	36949	648199996
57	37589	648058483
58	38263	648498854
59	38920	648640916
60	39561	648505118
61	40192	648219076
62	40830	648068545
63	41478	648062140
64	42125	648045115
65	42776	648087434
66	43424	648076731
67	44062	647934216
68	44708	647899142
69	45356	647905840
70	46006	647933266
71	46653	647915730
72	47295	647829579
73	47945	647868864
74	48592	647855362
75	49246	647926268
76	49892	647902321
77	50544	647950388
78	51184	647853432
79	51832	647855619
80	52488	647948105
81	53138	647977698
82	53791	648031560
83	54444	648091443
84	55102	648210208
85	55753	648243595
86	56409	648326587
87	57074	648514780
88	57716	648440209
89	58363	648425992
90	59014	648454966
91	59665	648479928
92	60317	648512777
93	60975	648610223
94	61621	648588645
95	62268	648571910
96	62925	648649490
97	63569	648606217
98	64235	648774834
99	64883	648767360
100	65523	648681344
101	66170	648665394
102	66821	648682997
103	67472	648703266
104	68121	648709994
105	68764	648649223
106	69425	648762224
107	70069	648722058
108	70718	648723189
109	71354	648607473
110	72013	648694746
111	72668	648754223
112	73315	648738963
113	73971	648796514
114	74615	648757855
115	75264	648758430
116	75916	648781102
117	76569	648815855
118	77213	648774000
119	77864	648795655
120	78512	648784762
121	79150	648693137
122	79787	648599197
123	80436	648601420
124	81084	648593032
125	81741	648660310
126	82386	648632821
127	83041	648678281
128	83692	648691271
129	84339	648681633
130	84984	648651847
131	85621	648558213
132	86267	648537262
133	86908	648482149
134	87556	648481631
135	88306	649219940
136	88988	649463430
137	89654	649576597
138	90304	649583026
139	90947	649534714
140	91646	649884091
141	92435	650857747
142	93190	651590980
143	93965	652441958
144	94655	652699336
145	95346	652962459
146	96029	653168508
147	96683	653167233
148	97346	653231802
149	97996	653214536
150	98650	653212798
151	99303	653214741
152	99946	653143838
153	100593	653100090
154	101233	653020146
155	102970	659961643
156	104527	665673055
157	105193	665674712
158	105845	665585782
159	106463	665288719
160	107089	665047038
161	107722	664846046
162	108346	664596466
163	108992	664478280
164	109633	664337419
165	110292	664301145
166	110942	664216420
167	111590	664114536
168	112239	664023286
169	112991	664542691
170	113644	664474498
171	114295	664394133
172	114942	664291666
173	115605	664281271
174	116256	664204232
175	116898	664080094
176	117556	664044233
177	118216	664019505
178	118862	663916983
179	119513	663843566
180	120170	663804478
181	120830	663782745
182	121483	663722038
183	122129	663623739
184	122791	663615178
185	123465	663669971
186	124184	663964495
187	124846	663951465
188	125505	663923185
189	126174	663950733
190	126844	663978337
191	127506	663967240
192	128178	664007540
193	128831	663950276
194	129497	663959017
195	130142	663861332
196	130788	663770596
197	131429	663655183
198	132075	663564269
199	132947	664605208
200	133612	664606560
201	133612	664606560
202	134446	665442031
203	135538	667538623
204	136334	668171033
205	137201	669135936
206	137932	669438315
207	138628	669560844
208	139294	669544733
209	139943	669447112
210	140603	669397204
211	141286	669461390
212	142030	669809799
213	142703	669824436
214	143356	669746612
215	144122	670193332
216	144800	670228242
217	145461	670181302
218	146127	670160546
219	146829	670305499
220	147539	670486942
221	148241	670626065
222	148907	670606284
223	149716	671223773
224	150377	671175617
225	151639	673802244
226	153414	678670707
227	154076	678595554
228	154750	678572672
229	155418	678526563
230	156083	678467363
231	156748	678408770
232	157408	678325809
233	158072	678263185
234	158750	678260049
235	159409	678178099
236	160100	678229635
237	160785	678257266
238	161496	678392768
239	162191	678463580
240	162854	678395697
241	163509	678299214
242	164152	678148576
243	164815	678087982
244	165486	678057029
245	166155	678017848
246	166793	677855234
247	167568	678247718
248	168312	678509061
249	169109	678982321
250	169849	679225332
251	170527	679222361
252	171198	679188093
253	171890	679236546
254	172594	679332476
255	173304	679449518
256	173961	679361463
257	174611	679246725
258	175256	679113450
259	175908	679005046
260	176576	678964247
261	177259	678974921
262	177933	678957024
263	178650	679100132
264	179429	679476088
265	180188	679773224
266	180902	679903808
267	181593	679944145
268	182304	680058050
269	182994	680092295
270	183657	680027460
271	184316	679949108
272	184983	679899077
273	185661	679891784
274	186414	680158239
275	187150	680358251
276	187847	680418199
277	188515	680371014
278	189184	680327950
279	189851	680281469
280	190555	680364566
281	191226	680329399
282	191887	680257385
283	192538	680155024
284	193218	680152904
285	193876	680071948
286	194544	680030666
287	195198	679939067
288	195926	680102010
289	196624	680163477
290	197312	680190320
291	197968	680105563
292	198666	680163309
293	199343	680154219
294	200004	680087170
295	200685	680088417
296	201407	680227356
297	202125	680354547
298	202813	680377390
299	203520	680464351
300	204184	680410874
301	204837	680315696
302	205569	680487634
303	206249	680483574
304	206920	680451751
305	207585	680398641
306	208238	680309481
307	208905	680262318
308	209565	680195387
309	210217	680102562
310	210872	680020173
311	211521	679921917
312	212185	679868334
313	212842	679793660
314	213507	679746481
315	214167	679682632
316	214825	679610695
317	215559	679780331
318	216320	680034048
319	216981	679975292
320	217677	680023202
321	218343	679979152
322	219047	680051297
323	219713	680005191
324	220371	679937118
325	221021	679843748
326	221687	679798584
327	222353	679756816
328	222990	679623233
329	223620	679471511
330	224260	679352733
331	224952	679387456
332	225620	679352270
333	226266	679250468
334	226951	679268191
335	227631	679268040
336	228281	679179450
337	228939	679114786
338	229571	678974337
339	230213	678862943
340	230866	678787309
341	231539	678767586
342	232205	678729326
343	232864	678671658
344	233527	678624731
345	234200	678605313
346	234858	678544495
347	235581	678673152
348	236267	678692177
349	236951	678705543
350	237615	678662099
351	238337	678784909
352	239070	678937787
353	239760	678966515
354	240419	678909602
355	241081	678860130
356	241761	678862998
357	242420	678805699
358	243089	678775720
359	243749	678721827
360	244544	679043999
361	245314	679296228
362	245980	679257157
363	246708	679390830
364	247381	679370679
365	248111	679508373
366	248804	679543671
367	249550	679723351
368	250219	679692781
369	250904	679704417
370	251661	679913102
371	252443	680187447
372	253242	680505377
373	253970	680629492
374	254756	680911293
375	255442	680923363
376	256177	681066483
377	256896	681163622
378	257641	681331778
379	258345	681390339
380	259049	681448936
381	259809	681653459
382	260471	681600224
383	261123	681521041
384	261776	681446626
385	262429	681370337
386	263093	681326185
387	263814	681426002
388	264492	681414785
389	265264	681646621
390	265958	681677267
391	266616	681616473
392	267273	681551005
393	267915	681449483
394	268575	681394930
395	269243	681359395
396	269905	681309477
397	270562	681246773
398	271213	681167834
399	271952	681311237
400	272625	681289063
401	273291	681250467
402	273971	681244669
403	274681	681316424
404	275341	681260923
405	276023	681261236
406	276717	681293206
407	277384	681254941
408	278079	681286958
409	278751	681263515
410	279479	681376261
411	280146	681340164
412	280802	681277303
413	281467	681236661
414	282118	681161825
415	282780	681115231
416	283470	681135491
417	284113	681041820
418	284757	680951538
419	285407	680875666
420	286070	680831826
421	286734	680791349
422	287470	680920845
423	288142	680897999
424	288810	680866721
425	289602	681126548
426	290327	681229057
427	291038	681296424
428	291752	681372667
429	292498	681521592
430	293217	681606438
431	293955	681734928
432	294816	682149724
433	295510	682176191
434	296211	682218404
435	296923	682285388
436	297623	682323570
437	298415	682573703
438	299244	682905232
439	299944	682942878
440	300658	683012024
441	301398	683140116
442	302181	683364890
443	303063	683810928
444	303961	684292312
445	304759	684547198
446	305628	684959078
447	306493	685359779
448	307376	685799188
449	308049	685770641
450	308712	685718559
451	309427	685782017
452	310269	686125344
453	311164	686584717
454	312204	687360933
455	313236	688116914
456	314062	688417810
457	314945	688841832
458	316000	689639472
459	317057	690438798
460	317809	690570304
461	318543	690663309
462	319507	691253769
463	320358	691596926
464	321080	691662168
465	321781	691680689
466	322537	691815824
467	323439	692265463
468	324249	692514302
469	325240	693150761
470	326613	694595099
471	328034	696133826
472	329266	697267857
473	330991	699438506
474	332096	700291332
475	333066	700858071
476	334026	701401289
477	334982	701932643
478	335931	702448294
479	336811	702816563
480	337642	703083005
481	338440	703278622
482	339244	703486502
483	339995	703583432
484	340706	703596553
485	341450	703678072
486	342169	703708813
487	342868	703698087
488	343601	703756254
489	344369	703885417
490	345226	704197603
491	346018	704373841
492	346795	704520795
493	347551	704623495
494	348234	704579081
495	348916	704531274
496	349611	704511384
497	350312	704502539
498	351012	704492820
499	351729	704515547
500	352428	704503047
501	353150	704537563
502	353875	704575352
503	354566	704546619
504	355269	704542787
505	355971	704537599
506	356702	704586887
507	357636	705037976
508	358476	705303274
509	359196	705330447
510	359981	705484456
511	360737	705581727
512	361689	706061811
513	362496	706257178
514	363283	706413410
515	363991	706414495
516	364666	706351478
517	365370	706346192
518	366091	706372440
519	366809	706393635
520	367490	706342741
521	368149	706251583
522	368781	706107339
523	369422	705982160
524	370086	705899845
525	370757	705832906
526	371482	705868471
527	372149	705792916
528	372794	705676878
529	373452	705583715
530	374103	705480789
531	374766	705398052
532	375399	705260635
533	376048	705154750
534	376705	705062195
535	377362	704970928
536	378104	705039219
537	378837	705090835
538	379522	705050445
539	380184	704970469
540	380870	704932573
541	381519	704828025
542	382168	704724018
543	382812	704610445
544	383474	704531749
545	384131	704442603
546	384791	704360943
547	385453	704280705
548	386096	704168740
549	386740	704057181
550	387375	703929752
551	388025	703830473
552	388683	703747275
553	389346	703672159
554	389987	703556538
555	390633	703451926
556	391274	703338099
557	391951	703289497
558	392601	703193169
559	393257	703107431
560	393911	703017386
561	394560	702920296
562	395213	702830186
563	395851	702714308
564	396493	702604599
565	397141	702507401
566	397799	702426260
567	398449	702333768
568	399081	702206909
569	399698	702056058
570	400315	701905458
571	400956	701798056
572	401656	701792883
573	402329	701742606
574	402973	701639852
575	403632	701564986
576	404294	701494027
577	405016	701528969
578	405694	701487346
579	406438	701559224
580	407200	701661229
581	407897	701652063
582	408598	701650112
583	409556	702087579
584	410231	702039824
585	410883	701952726
586	411584	701949145
587	412268	701918109
588	412923	701835891
589	413571	701742953
590	414216	701645847
591	414864	701554294
592	415510	701458987
593	416169	701385291
594	416880	701400648
595	417725	701641044
596	418492	701748868
597	419407	702103489
598	420246	702332024
599	421014	702439981
600	421745	702486776
601	422465	702513399
602	423272	702685028
603	423995	702718081
604	424706	702731065
605	425464	702820785
606	426133	702762892
607	426836	702761806
608	427569	702809540
609	428483	703155270
610	429256	703268196
611	430075	703455756
612	430892	703640452
613	431708	703822723
614	432496	703957875
615	433251	704038627
616	434255	704524906
617	435058	704683231
618	435841	704807479
619	436723	705093113
620	437453	705130733
621	438239	705259676
622	439020	705380329
623	439697	705333866
624	440639	705710551
625	441436	705855169
626	442174	705906189
627	443039	706157461
628	443739	706146627
629	444415	706096309
630	445069	706013435
631	445730	705940860
632	446384	705856885
633	447044	705782429
634	447720	705734317
635	448406	705702504
636	449062	705623058
637	449787	705651709
638	450504	705668334
639	451186	705629115
640	451862	705581329
641	452809	705957538
642	453544	706001239
643	454257	706009382
644	454950	705988947
645	455621	705932666
646	456322	705923464
647	457153	706115289
648	457848	706097198
649	458560	706105360
650	459274	706115249
651	459951	706069629
652	460634	706032069
653	461286	705948926
654	461992	705947297
655	462700	705949354
656	463557	706177804
657	464282	706204770
658	464974	706181475
659	465629	706103224
660	466285	706024786
661	466939	705945208
662	467582	705848325
663	468218	705742990
664	468862	705647261
665	469515	705567433
666	470141	705446350
667	470789	705359177
668	471423	705250661
669	472062	705150582
670	472712	705067007
671	473363	704984842
672	474018	704908874
673	474667	704824403
674	475319	704745560
675	475971	704666085
676	476605	704560020
677	477242	704459106
678	477896	704383494
679	478545	704300400
680	479199	704224550
681	479845	704137904
682	480498	704061100
683	481133	703958905
684	481790	703889533
685	482423	703784081
686	483094	703734375
687	483736	703644084
688	484400	703585094
689	485066	703529179
690	485711	703442209
691	486372	703379958
692	487024	703304739
693	487663	703209772
694	488309	703126806
695	488953	703039970
696	489594	702949893
697	490237	702861336
698	490886	702783946
699	491556	702735752
700	492210	702664661
701	492859	702585885
702	493524	702531042
703	494189	702476093
704	494855	702423599
705	495546	702405839
706	496201	702337308
707	496847	702256423
708	497518	702210678
709	498168	702135582
710	498819	702062334
711	499479	702001643
712	500123	701919583
713	500809	701895048
714	501491	701865775
715	502122	701766361
716	502777	701699394
717	503455	701664064
718	504135	701633094
719	504799	701579415
720	505476	701544074
721	506136	701484734
722	506814	701451560
723	507538	701480005
724	508280	701535445
725	509022	701589136
726	509781	701667164
727	510504	701694539
728	511179	701657355
729	511832	701589617
730	512484	701520248
731	513140	701455796
732	513791	701385487
733	514420	701286036
734	515071	701216330
735	515721	701145036
736	516365	701066048
737	517036	701023598
738	517674	700936931
739	518317	700856739
740	518966	700785787
741	519624	700727248
742	520272	700654287
743	520921	700583844
744	521575	700519760
745	522218	700440423
746	522864	700365889
747	523504	700284027
748	524158	700220508
749	524802	700144486
750	525452	700075854
751	526097	700001640
752	526771	699966104
753	527433	699913693
754	528068	699826956
755	528701	699737136
756	529349	699666783
757	529985	699581075
758	530629	699506232
759	531267	699423931
760	531901	699337668
761	532532	699245422
762	533212	699219405
763	533915	699222861
764	534711	699347585
765	535481	699439558
766	536291	699581198
767	537112	699739170
768	537881	699827098
769	538590	699837397
770	539359	699926730
771	540062	699929069
772	540689	699832463
773	541324	699747257
774	541988	699700320
775	542652	699652677
776	543294	699577115
777	543936	699501892
778	544579	699427080
779	545229	699362464
780	545881	699300215
781	546527	699231801
782	547178	699167640
783	547855	699138882
784	548526	699101684
785	549202	699070255
786	549850	699004694
787	550478	698912953
788	551117	698834651
789	551786	698796327
790	552438	698735843
791	553079	698661052
792	553721	698587822
793	554358	698509208
794	555003	698440365
795	555640	698361696
796	556282	698290156
797	556923	698216436
798	557569	698149402
799	558203	698067990
800	558860	698015191
801	559520	697966475
802	560170	697904824
803	560810	697831454
804	561452	697760981
805	562087	697681307
806	562729	697610909
807	563373	697543326
808	564028	697489247
809	564661	697408178
810	565314	697352021
811	565982	697314588
